timestamp,crtp.rxRate,crtp.txRate
1975930,0,0
1976030,517,207
1976130,517,207
1976230,517,207
1976330,517,207
1976430,517,207
1976530,854,337
1976630,854,337
1976730,854,337
1976830,854,337
1976930,854,337
1977030,662,299
1977130,662,299
1977230,662,299
1977330,662,299
1977430,662,299
1977530,536,253
1977630,536,253
1977730,536,253
1977830,536,253
1977930,536,253
1978030,712,163
1978130,712,163
1978230,712,163
1978330,712,163
1978430,712,163
1978530,747,157
1978630,747,157
1978730,747,157
1978830,747,157
1978930,747,157
1979030,723,163
1979130,723,163
1979230,723,163
1979330,723,163
1979430,723,163
1979530,656,159
1979630,656,159
1979730,656,159
1979833,656,159
1979933,656,159
1980033,532,159
1980132,532,159
1980232,532,159
1980332,532,159
1980430,532,159
1980530,598,161
1980630,598,161
1980730,598,161
1980830,598,161
1980930,598,161
1981030,636,161
1981130,636,161
1981230,636,161
1981330,636,161
1981430,636,161
1981530,690,159
1981630,690,159
1981730,690,159
1981830,690,159
1981930,690,159
1982030,748,159
1982130,748,159
1982230,748,159
1982330,748,159
1982430,748,159
1982530,602,159
1982630,602,159
1982730,602,159
1982830,602,159
1982930,602,159
1983030,794,161
1983130,794,161
1983230,794,161
1983330,794,161
1983430,794,161
1983530,720,159
1983630,720,159
1983730,720,159
1983830,720,159
1983930,720,159
1984030,720,159
1984130,700,163
1984230,700,163
1984330,700,163
1984430,700,163
1984530,700,163
1984630,828,161
1984730,828,161
1984830,828,161
1984930,828,161
1985030,828,161
1985130,906,161
1985230,906,161
1985330,906,161
1985430,906,161
1985530,906,161
1985630,719,159
1985730,719,159
1985830,719,159
1985930,719,159
1986030,719,159
1986130,782,159
1986230,782,159
1986330,782,159
1986430,782,159
1986530,782,159
1986630,704,161
1986730,704,161
1986830,704,161
1986930,704,161
1987030,704,161
1987130,758,155
1987230,758,155
1987333,758,155
1987433,758,155
1987533,758,155
1987633,746,165
1987732,746,165
1987832,746,165
1987931,746,165
1988031,746,165
1988132,719,159
1988230,719,159
1988330,719,159
1988430,719,159
1988530,719,159
1988630,888,161
1988730,888,161
1988830,888,161
1988930,888,161
1989030,888,161
1989130,692,161
1989230,692,161
1989330,692,161
1989430,692,161
1989530,692,161
1989630,832,163
1989730,832,163
1989830,832,163
1989930,832,163
1990030,832,163
1990130,670,157
1990230,670,157
1990330,670,157
1990430,670,157
1990530,670,157
1990630,866,165
1990730,866,165
1990830,866,165
1990930,866,165
1991030,866,165
1991130,926,161
1991230,926,161
1991330,926,161
1991430,926,161
1991530,926,161
1991630,716,159
1991730,716,159
1991830,716,159
1991930,716,159
1992030,716,159
1992130,780,159
1992230,780,159
1992330,780,159
1992430,780,159
1992530,780,159
1992630,706,159
1992730,706,159
1992830,706,159
1992930,706,159
1993030,706,159
1993130,746,159
1993230,746,159
1993330,746,159
1993430,746,159
1993530,746,159
1993630,667,159
1993730,667,159
1993830,667,159
1993930,667,159
1994030,667,159
1994130,522,159
1994230,522,159
1994330,522,159
1994430,522,159
1994530,522,159
1994630,679,159
1994730,679,159
1994830,679,159
1994930,679,159
1995030,679,159
1995130,639,159
1995230,639,159
1995330,639,159
1995430,639,159
1995530,639,159
1995630,780,161
1995730,780,161
1995830,780,161
1995930,780,161
1996030,780,161
1996130,800,159
1996230,800,159
1996330,800,159
1996430,800,159
1996533,800,159
1996633,676,161
1996730,676,161
1996830,676,161
1996932,676,161
1997033,676,161
1997132,710,159
1997232,710,159
1997331,710,159
1997431,710,159
1997530,710,159
