timestamp,activeMarker.btSns,activeMarker.i2cOk
111546,0,0
111646,0,0
111746,0,0
111846,0,0
111946,0,0
112046,0,0
112146,0,0
112246,0,0
112346,0,0
112446,0,0
112546,0,0
112646,0,0
112746,0,0
112846,0,0
112946,0,0
113046,0,0
113146,0,0
113246,0,0
113346,0,0
113446,0,0
113546,0,0
113646,0,0
113746,0,0
113846,0,0
113946,0,0
114046,0,0
114146,0,0
114246,0,0
114346,0,0
114446,0,0
114546,0,0
114648,0,0
114748,0,0
114848,0,0
114948,0,0
115047,0,0
115147,0,0
115246,0,0
115346,0,0
115446,0,0
115546,0,0
115646,0,0
115746,0,0
115846,0,0
115946,0,0
116046,0,0
116146,0,0
116246,0,0
116346,0,0
116446,0,0
116546,0,0
116646,0,0
116746,0,0
116846,0,0
116946,0,0
117046,0,0
117146,0,0
117246,0,0
117346,0,0
117446,0,0
117546,0,0
117646,0,0
117746,0,0
117846,0,0
117946,0,0
118046,0,0
118146,0,0
118246,0,0
118346,0,0
118446,0,0
118546,0,0
118646,0,0
118746,0,0
118846,0,0
118946,0,0
119046,0,0
119146,0,0
119246,0,0
119346,0,0
119446,0,0
119546,0,0
119646,0,0
119746,0,0
119846,0,0
119946,0,0
120046,0,0
120146,0,0
120246,0,0
120346,0,0
120446,0,0
120546,0,0
120646,0,0
120746,0,0
120846,0,0
120946,0,0
121046,0,0
121146,0,0
121246,0,0
121346,0,0
121446,0,0
121546,0,0
121646,0,0
121746,0,0
121846,0,0
121946,0,0
122048,0,0
122148,0,0
122247,0,0
122347,0,0
122448,0,0
122547,0,0
122646,0,0
122746,0,0
122846,0,0
122946,0,0
123046,0,0
123146,0,0
123246,0,0
123346,0,0
123446,0,0
123546,0,0
123646,0,0
123746,0,0
123846,0,0
123946,0,0
124046,0,0
124146,0,0
124246,0,0
124346,0,0
124446,0,0
124546,0,0
124646,0,0
124746,0,0
124846,0,0
124946,0,0
125046,0,0
125146,0,0
125246,0,0
125346,0,0
125446,0,0
125546,0,0
125646,0,0
125746,0,0
125846,0,0
125946,0,0
126046,0,0
126146,0,0
126246,0,0
126346,0,0
126446,0,0
126546,0,0
126646,0,0
126746,0,0
126846,0,0
126946,0,0
127046,0,0
127146,0,0
127246,0,0
127346,0,0
127446,0,0
127546,0,0
127646,0,0
127746,0,0
127846,0,0
127946,0,0
128046,0,0
128146,0,0
128246,0,0
128346,0,0
128446,0,0
128546,0,0
128646,0,0
128746,0,0
128846,0,0
128946,0,0
129046,0,0
129146,0,0
129246,0,0
129346,0,0
129446,0,0
129546,0,0
129646,0,0
129746,0,0
129846,0,0
129946,0,0
130046,0,0
130146,0,0
130246,0,0
130346,0,0
130446,0,0
130546,0,0
130646,0,0
130746,0,0
130846,0,0
130946,0,0
131046,0,0
131146,0,0
131246,0,0
131346,0,0
131446,0,0
131549,0,0
131646,0,0
131748,0,0
131849,0,0
131948,0,0
132048,0,0
132148,0,0
132247,0,0
132346,0,0
132446,0,0
132546,0,0
132646,0,0
132746,0,0
132846,0,0
132946,0,0
133046,0,0
133146,0,0
