timestamp,memTst.errCntW
183272,0
183372,0
183472,0
183572,0
183673,0
183772,0
183873,0
183972,0
184072,0
184172,0
184272,0
184373,0
184472,0
184572,0
184672,0
184772,0
184872,0
184972,0
185072,0
185172,0
185272,0
185372,0
185472,0
185572,0
185672,0
185772,0
185872,0
185972,0
186072,0
186172,0
186272,0
186372,0
186472,0
186572,0
186672,0
186772,0
186872,0
186972,0
187072,0
187173,0
187273,0
187372,0
187472,0
187572,0
187672,0
187772,0
187876,0
187975,0
188075,0
188174,0
188274,0
188373,0
188472,0
188573,0
188673,0
188773,0
188872,0
188972,0
189072,0
189172,0
189272,0
189372,0
189472,0
189572,0
189672,0
189772,0
189872,0
189973,0
190072,0
190172,0
190276,0
190372,0
190472,0
190575,0
190675,0
190772,0
190875,0
190975,0
191075,0
191175,0
191274,0
191374,0
191475,0
191575,0
191675,0
191775,0
191875,0
191974,0
192074,0
192174,0
192275,0
192374,0
192475,0
192574,0
192674,0
192774,0
192874,0
192974,0
193074,0
193174,0
193275,0
193374,0
193474,0
193574,0
193674,0
193774,0
193875,0
193974,0
194074,0
194173,0
194274,0
194374,0
194473,0
194574,0
194673,0
194774,0
194874,0
194973,0
195074,0
195174,0
195273,0
195372,0
195473,0
195572,0
195673,0
195774,0
195873,0
195974,0
196074,0
196174,0
196273,0
196374,0
196474,0
196574,0
196672,0
196772,0
196872,0
196974,0
197072,0
197172,0
197274,0
197372,0
197472,0
197572,0
197672,0
197772,0
197872,0
197972,0
198072,0
198172,0
198272,0
198372,0
198472,0
198572,0
198673,0
198772,0
198873,0
198972,0
199072,0
199173,0
199272,0
199372,0
199472,0
199575,0
199674,0
199774,0
199874,0
199974,0
200074,0
200173,0
200273,0
200373,0
200473,0
200572,0
200673,0
200773,0
200873,0
200973,0
201073,0
201173,0
201273,0
201372,0
201473,0
201573,0
201673,0
201772,0
201872,0
201972,0
202072,0
202172,0
202272,0
202372,0
202472,0
202572,0
202672,0
202772,0
202873,0
202972,0
203072,0
203172,0
203272,0
203372,0
203472,0
203572,0
203672,0
203772,0
203872,0
203972,0
204072,0
204172,0
204272,0
204372,0
204472,0
204573,0
204672,0
204772,0
204872,0
